"","ADDRESS","METERID","ENERGY","Year","Month","Day_Month","Day_Year","Week_Day","Volume.m3.","Hours","Power.kW.","Flow.l.h.","Flow.T.ºC.","Return.T.ºC.","DHW.Flow.ºC.","SH.Flow.T.ºC.","SH.Ret.T.ºC.","Temperature","Wind.speed","Wind.direction","Irradiation.flux","Regresion_UV","Regresion_MV"
"307","Kummeli  15",10045,4802,2019,11,3,307,"SUN",6973.57,11894,25.6,948,66.99625,43.9725,59.0533333333333,43.2929166666667,36.3429166666667,5.45548413658333,2.24100930434375,171.324003996424,235.9196340155,20.9814232369062,20.3315118902331
"308","Kummeli  15",10045,4826,2019,11,4,308,"MON",6996.81,11918,24.2,843,67.2775,43.2525,59.0683333333333,39.4233333333333,33.3741666666667,3.42083334936111,5.27620022154514,60.9206540852778,229.387270498083,23.1622531962174,23.588825203003
"309","Kummeli  15",10045,4850,2019,11,5,309,"TUE",7016.55,11942,29.4,1034,68.11875,42.8554166666667,59.1870833333333,43.0604166666667,35.4891666666667,1.3487893295625,4.19344782412153,43.4215040939653,191.05950902725,25.3831628991338,25.8327267485914
"316","Kummeli  15",10045,5018,2019,11,12,316,"TUE",7180.92,12110,28.8,1032,68.88375,43.6508333333333,58.6270833333333,43.9654166666667,36.6416666666667,4.89834102422569,2.53187024325694,184.837715314583,769.089056607584,21.5785942102663,21.0858345983296
"317","Kummeli  15",10045,5042,2019,11,13,317,"WED",7203.49,12134,26.4,993,67.5895833333333,44.1054166666667,59.3620833333333,42.3795833333333,35.6716666666667,7.38897742579514,2.93651852754514,163.752386868056,139.323972039333,18.9090184204527,18.2637445956611
"324","Kummeli  15",10045,5234,2019,11,20,324,"WED",7363.03,12302,28.2,1141,66.6979166666667,44.81125,59.53375,43.0358333333333,36.0658333333333,4.38974978613889,2.08972990915972,159.57420839618,208.021146025167,22.1237251074347,21.5572919357554
"332","Kummeli  15",10045,5449,2019,11,28,332,"THU",7587,12494,28.3,922,69.5320833333333,43.0533333333333,59.5916666666667,43.0633333333333,35.29625,1.25271710626389,3.64148335004514,186.565178062153,168.206847810917,25.4861374165021,25.1969321356005
"337","Kummeli  15",10045,5569,2019,12,3,337,"TUE",7711.54,12614,29.5,1087,66.9133333333333,44.5791666666667,59.0466666666667,48.7133333333333,38.95375,-2.78168018789931,3.65903355197222,259.063877088194,471.588912997833,29.8103853622083,29.5015313745989
"339","Kummeli  15",10045,5617,2019,12,5,339,"THU",7772.43,12662,26.7,1136,66.5970833333333,43.9204166666667,59.4491666666667,42.0929166666667,34.46625,5.13160507490625,6.22023119510417,264.059145814931,214.846425417333,21.3285713398312,20.8683462625776
"340","Kummeli  15",10045,5641,2019,12,6,340,"FRI",7799.68,12686,30.4,1149,66.7404166666667,43.7379166666667,59.22625,44.3991666666667,36.17625,4.33952920029167,6.41067554682639,236.636644357986,162.493712983833,22.1775537835287,21.9020911691058
"343","Kummeli  15",10045,5713,2019,12,9,343,"MON",7879.69,12758,29.4,1048,68.8070833333333,43.6308333333333,59.6308333333333,42.8725,35.4154166666667,5.68404276379861,6.13324250207986,241.313706063542,303.065557919167,20.7364438503597,20.3596959380154
"351","Kummeli  15",10045,5928,2019,12,17,351,"TUE",8090.74,12950,30.3,1100,68.48125,43.82625,59.5204166666667,44.0441666666667,36.2479166666667,4.11865827781945,3.96740308152431,233.182020627083,343.51356574725,22.4142931433703,21.846695687285
"357","Kummeli  15",10045,6072,2019,12,23,357,"MON",8276.53,13094,31.8,1671,63.8170833333333,46.9895833333333,58.7766666666667,47.4095833333333,39.4125,4.63319248935417,1.35083668400347,96.1488596211528,211.434072506333,21.8627923007429,21.4619753008996
"358","Kummeli  15",10045,6096,2019,12,24,358,"TUE",8313.48,13118,26.2,1381,63.26375,47.285,59.30625,43.9658333333333,36.7708333333333,4.08810518294097,1.36570452548611,109.777641297535,244.944430978417,22.4470413206394,22.0259116487206
"364","Kummeli  15",10045,6267,2019,12,30,364,"MON",8525.46,13262,38.2,1740,64.0558333333333,45.5233333333333,59.0745833333333,46.3204166666667,37.39375,4.09212223425694,6.06014290127431,262.703101920486,143.30051867325,22.442735664891,22.0038889436254
"365","Kummeli  15",10045,6291,2019,12,31,365,"TUE",8563.77,13286,28.9,1536,63.87,45.9391304347826,59.0382608695652,46.48,37.6965217391304,2.48870705393478,5.70254856845652,301.719430642221,301.860048548083,24.1613479616158,23.6231803902216
